F,W,Z,Down,Up
17,3,1,0.21802325581395354,0.3909014321819714
17,7,1,0.28265642151481885,0.3959302325581395
17,11,1,0.42523705324580596,0.5526893523600439
29,3,1,0.25773993808049533,0.44879518072289154
29,7,1,0.19875776397515532,0.46362229102167185
29,11,1,0.5101701951017019,0.5362318840579711
29,15,1,0.3705069124423963,0.48567870485678705
29,19,1,0.1900311526479751,0.5161290322580645
29,23,1,0.5953038674033149,0.5856697819314641
41,3,1,0.21276595744680848,0.43227937706465314
41,7,1,0.3858764186633039,0.469721767594108
41,11,1,0.31444759206798867,0.4691046658259773
41,15,1,0.5312053358742258,0.5297450424929179
41,19,1,0.5662442396313364,0.4259171033825631
41,23,1,0.4967811158798283,0.47235023041474655
41,27,1,0.35928705440900566,0.6550429184549357
41,31,1,0.6259786476868328,0.4437148217636023
41,35,1,0.561267184698147,0.5213523131672598
53,3,1,0.31992687385740404,0.43830665978316985
53,7,1,0.36407766990291257,0.4625228519195612
53,11,1,0.470917225950783,0.44336569579288027
53,15,1,0.5467671060891399,0.4228187919463087
53,19,1,0.45305164319248825,0.42623979912115506
53,23,1,0.5753676470588236,0.4518779342723005
53,27,1,0.5065963060686016,0.5018382352941176
53,31,1,0.5128458498023716,0.5092348284960422
53,35,1,0.23873873873873874,0.7924901185770751
53,39,1,0.5993227990970655,0.41291291291291293
65,3,1,0.3379143088116411,0.39928698752228164
65,7,1,0.3817351598173516,0.444624090541633
65,11,1,0.5305580159433126,0.491324200913242
65,15,1,0.4817184643510055,0.33392382639503987
65,19,1,0.32638888888888884,0.4259597806215722
65,23,1,0.3695652173913043,0.4791666666666667
65,27,1,0.4877344877344877,0.48757763975155277
65,31,1,0.6144736842105263,0.4444444444444444
65,35,1,0.5296769346356123,0.5460526315789473
65,39,1,0.4967061923583662,0.5093914350112697
77,3,1,0.21875,0.41495041952707856
77,7,1,0.3508771929824561,0.5
77,11,1,0.5363036303630363,0.42105263157894735
77,15,1,0.34911242603550297,0.35313531353135313
77,19,1,0.5091258405379443,0.4378698224852071
77,23,1,0.49956709956709955,0.41306436119116235
77,27,1,0.4913793103448276,0.42164502164502166
77,31,1,0.5627450980392157,0.4387931034482759
77,35,1,0.5892857142857143,0.49607843137254903
77,39,1,0.5993527508090615,0.4255952380952381
89,3,1,0.3961605584642234,0.42518518518518517
89,7,1,0.43738140417457305,0.4581151832460733
89,11,1,0.5078407720144753,0.38804554079696396
89,15,1,0.47756410256410253,0.33293124246079614
89,19,1,0.41208791208791207,0.33974358974358976
89,23,1,0.47344110854503463,0.4175824175824176
89,27,1,0.4843205574912892,0.4515011547344111
89,31,1,0.5349716446124764,0.4564459930313589
89,35,1,0.45402298850574707,0.3516068052930057
89,39,1,0.4036697247706422,0.4885057471264368
101,3,1,0.3850520340586566,0.4129316678912564
101,7,1,0.3694968553459119,0.4011352885525071
101,11,1,0.19999999999999996,0.4276729559748428
101,15,1,0.4596340150699677,0.6
101,19,1,0.3525179856115108,0.348762109795479
101,23,1,0.5135453474676089,0.5611510791366906
101,27,1,0.46700507614213194,0.40518256772673733
101,31,1,0.5115511551155115,0.41116751269035534
101,35,1,0.5,0.43564356435643564
101,39,1,0.5040485829959513,0.36818181818181817
113,3,1,0.3576881134133042,0.42387543252595156
113,7,1,0.21019108280254772,0.366412213740458
113,11,1,0.48275862068965514,0.5923566878980892
113,15,1,0.47891283973758203,0.34770114942528735
113,19,1,0.4180327868852459,0.3673851921274602
113,23,1,0.48973143759873616,0.4713114754098361
113,27,1,0.4436619718309859,0.4107424960505529
113,31,1,0.3157894736842105,0.45774647887323944
113,35,1,0.5906040268456376,0.5263157894736842
113,39,1,0.45430107526881724,0.4004474272930649
17,3,2,0.22984562607204118,0.2849162011173184
17,7,2,0.11184210526315785,0.3567753001715266
17,11,2,0.39312039312039315,0.5723684210526315
29,3,2,0.2997416020671835,0.2847380410022779
29,7,2,0.08974358974358976,0.26356589147286824
29,11,2,0.2692307692307693,0.5512820512820513
29,15,2,0.3528265107212476,0.38461538461538464
29,19,2,0.4606365159128978,0.4775828460038986
